keyword,intent,old_page_file,old_url,old_title,old_meta_description,duplicated_across_pages,suggested_new_target_page,search_volume_FILL_FROM_SEARCH_ATLAS,keyword_difficulty_FILL_FROM_SEARCH_ATLAS,verdict_after_matrix
Cupboard Centre,Navigational,about-us.html,https://www.cupboardcentre.co.za/about-us,About Cupboard Centre | Your Trusted DIY & Custom Cabinet Experts,MISSING,no,about.html,,,
custom cabinetry,Commercial,about-us.html,https://www.cupboardcentre.co.za/about-us,About Cupboard Centre | Your Trusted DIY & Custom Cabinet Experts,MISSING,no,about.html,,,
DIY cabinets,Commercial,about-us.html,https://www.cupboardcentre.co.za/about-us,About Cupboard Centre | Your Trusted DIY & Custom Cabinet Experts,MISSING,no,about.html,,,
kitchen cupboards,Commercial,about-us.html,https://www.cupboardcentre.co.za/about-us,About Cupboard Centre | Your Trusted DIY & Custom Cabinet Experts,MISSING,no,about.html,,,
bedroom cupboards,Commercial,about-us.html,https://www.cupboardcentre.co.za/about-us,About Cupboard Centre | Your Trusted DIY & Custom Cabinet Experts,MISSING,no,about.html,,,
bathroom cabinets,Commercial,about-us.html,https://www.cupboardcentre.co.za/about-us,About Cupboard Centre | Your Trusted DIY & Custom Cabinet Experts,MISSING,no,about.html,,,
built-in cupboards,Commercial,about-us.html,https://www.cupboardcentre.co.za/about-us,About Cupboard Centre | Your Trusted DIY & Custom Cabinet Experts,MISSING,no,about.html,,,
cabinetry experts,Commercial,about-us.html,https://www.cupboardcentre.co.za/about-us,About Cupboard Centre | Your Trusted DIY & Custom Cabinet Experts,MISSING,no,about.html,,,
cupboard installation,Commercial,about-us.html,https://www.cupboardcentre.co.za/about-us,About Cupboard Centre | Your Trusted DIY & Custom Cabinet Experts,MISSING,no,about.html,,,
bedroom cabinetry,Commercial,bedroom-and-bathroom-cabinetry.html,https://www.cupboardcentre.co.za/bedroom-cabinetry,Bedroom Cabinetry | Custom & DIY Wardrobes and Storage Solutions,"Explore custom bedroom cabinetry, DIY wardrobes, and storage solutions for stylish, functional spaces. Tailored designs, expert installation, and more.",no,bedroom-cupboards.html,,,
custom cupboards,Commercial,bedroom-and-bathroom-cabinetry.html,https://www.cupboardcentre.co.za/bedroom-cabinetry,Bedroom Cabinetry | Custom & DIY Wardrobes and Storage Solutions,"Explore custom bedroom cabinetry, DIY wardrobes, and storage solutions for stylish, functional spaces. Tailored designs, expert installation, and more.",no,bedroom-cupboards.html,,,
DIY wardrobe,Commercial,bedroom-and-bathroom-cabinetry.html,https://www.cupboardcentre.co.za/bedroom-cabinetry,Bedroom Cabinetry | Custom & DIY Wardrobes and Storage Solutions,"Explore custom bedroom cabinetry, DIY wardrobes, and storage solutions for stylish, functional spaces. Tailored designs, expert installation, and more.",no,bedroom-cupboards.html,,,
chest drawer,Commercial,bedroom-and-bathroom-cabinetry.html,https://www.cupboardcentre.co.za/bedroom-cabinetry,Bedroom Cabinetry | Custom & DIY Wardrobes and Storage Solutions,"Explore custom bedroom cabinetry, DIY wardrobes, and storage solutions for stylish, functional spaces. Tailored designs, expert installation, and more.",no,bedroom-cupboards.html,,,
custom cabinetry,Commercial,bedroom-and-bathroom-cabinetry.html,https://www.cupboardcentre.co.za/bedroom-cabinetry,Bedroom Cabinetry | Custom & DIY Wardrobes and Storage Solutions,"Explore custom bedroom cabinetry, DIY wardrobes, and storage solutions for stylish, functional spaces. Tailored designs, expert installation, and more.",YES - also on about-us.html,bedroom-cupboards.html,,,
bedside cabinets,Commercial,bedroom-and-bathroom-cabinetry.html,https://www.cupboardcentre.co.za/bedroom-cabinetry,Bedroom Cabinetry | Custom & DIY Wardrobes and Storage Solutions,"Explore custom bedroom cabinetry, DIY wardrobes, and storage solutions for stylish, functional spaces. Tailored designs, expert installation, and more.",no,bedroom-cupboards.html,,,
shoe storage,Commercial,bedroom-and-bathroom-cabinetry.html,https://www.cupboardcentre.co.za/bedroom-cabinetry,Bedroom Cabinetry | Custom & DIY Wardrobes and Storage Solutions,"Explore custom bedroom cabinetry, DIY wardrobes, and storage solutions for stylish, functional spaces. Tailored designs, expert installation, and more.",no,bedroom-cupboards.html,,,
DIY bedroom cupboard,Commercial,bedroom-and-bathroom-cabinetry.html,https://www.cupboardcentre.co.za/bedroom-cabinetry,Bedroom Cabinetry | Custom & DIY Wardrobes and Storage Solutions,"Explore custom bedroom cabinetry, DIY wardrobes, and storage solutions for stylish, functional spaces. Tailored designs, expert installation, and more.",no,bedroom-cupboards.html,,,
bathroom cabinetry,Commercial,bedroom-and-bathroom-cabinetry.html,https://www.cupboardcentre.co.za/bedroom-cabinetry,Bedroom Cabinetry | Custom & DIY Wardrobes and Storage Solutions,"Explore custom bedroom cabinetry, DIY wardrobes, and storage solutions for stylish, functional spaces. Tailored designs, expert installation, and more.",no,bedroom-cupboards.html,,,
cupboard warehouse,Commercial,blog.html,https://www.cupboardcentre.co.za/blog,Cupboard warehouse DIY Mastery: Your Ultimate Guide to Home Transformations with Cupboard Centre,MISSING,no,blog.html,,,
builders  warehouse built in kitchen cupboards,Commercial,blog.html,https://www.cupboardcentre.co.za/blog,Cupboard warehouse DIY Mastery: Your Ultimate Guide to Home Transformations with Cupboard Centre,MISSING,no,blog.html,,,
diy kitchen cupboards builders warehouse,Commercial,blog.html,https://www.cupboardcentre.co.za/blog,Cupboard warehouse DIY Mastery: Your Ultimate Guide to Home Transformations with Cupboard Centre,MISSING,no,blog.html,,,
builders warehouse diy kitchen cupboards,Commercial,blog.html,https://www.cupboardcentre.co.za/blog,Cupboard warehouse DIY Mastery: Your Ultimate Guide to Home Transformations with Cupboard Centre,MISSING,no,blog.html,,,
builders warehouse bathroom cupboards,Commercial,blog.html,https://www.cupboardcentre.co.za/blog,Cupboard warehouse DIY Mastery: Your Ultimate Guide to Home Transformations with Cupboard Centre,MISSING,no,blog.html,,,
