keyword,type,intent,suggested_target_page,suggested_role,source,search_volume_FILL_FROM_SEARCH_ATLAS,keyword_difficulty_FILL_FROM_SEARCH_ATLAS,decision_target_or_reject,notes
cupboard centre,Brand,Navigational,index.html,Primary,Brand,,,,Homepage must rank #1 for the brand name.
cupboard centre nelspruit,Brand + town,Navigational,index.html,Secondary,Old site + brand,,,,
cupboard centre mbombela,Brand + town,Navigational,index.html,Secondary,Brand,,,,
cupboard installation,Core service,Commercial,cupboard-installation.html,Primary,New site services,,,,
cupboard installation services,"Service + ""services"" variant",Commercial,cupboard-installation.html,Secondary,Framework Rule 5,,,,"Always test: the ""services"" variant often beats the bare term on volume AND difficulty."
kitchen units,Core service,Commercial,kitchen-units.html,Primary,New site services,,,,
kitchen units services,"Service + ""services"" variant",Commercial,kitchen-units.html,Secondary,Framework Rule 5,,,,"Always test: the ""services"" variant often beats the bare term on volume AND difficulty."
kitchen cupboards,Core service,Commercial,kitchen-units.html,Primary,New site services,,,,
kitchen cupboards services,"Service + ""services"" variant",Commercial,kitchen-units.html,Secondary,Framework Rule 5,,,,"Always test: the ""services"" variant often beats the bare term on volume AND difficulty."
bedroom cupboards,Core service,Commercial,bedroom-bathroom-cabinetry.html,Primary,New site services,,,,
bedroom cupboards services,"Service + ""services"" variant",Commercial,bedroom-bathroom-cabinetry.html,Secondary,Framework Rule 5,,,,"Always test: the ""services"" variant often beats the bare term on volume AND difficulty."
built in cupboards,Core service,Commercial,bedroom-bathroom-cabinetry.html,Primary,New site services,,,,
built in cupboards services,"Service + ""services"" variant",Commercial,bedroom-bathroom-cabinetry.html,Secondary,Framework Rule 5,,,,"Always test: the ""services"" variant often beats the bare term on volume AND difficulty."
bathroom cabinets,Core service,Commercial,bedroom-bathroom-cabinetry.html,Primary,New site services,,,,
bathroom cabinets services,"Service + ""services"" variant",Commercial,bedroom-bathroom-cabinetry.html,Secondary,Framework Rule 5,,,,"Always test: the ""services"" variant often beats the bare term on volume AND difficulty."
melamine doors,Core service,Commercial,melamine-doors-quartz-countertops.html,Primary,New site services,,,,
melamine doors services,"Service + ""services"" variant",Commercial,melamine-doors-quartz-countertops.html,Secondary,Framework Rule 5,,,,"Always test: the ""services"" variant often beats the bare term on volume AND difficulty."
quartz countertops,Core service,Commercial,melamine-doors-quartz-countertops.html,Primary,New site services,,,,
quartz countertops services,"Service + ""services"" variant",Commercial,melamine-doors-quartz-countertops.html,Secondary,Framework Rule 5,,,,"Always test: the ""services"" variant often beats the bare term on volume AND difficulty."
custom cabinetry,Core service,Commercial,custom-cabinetry.html,Primary,New site services,,,,
custom cabinetry services,"Service + ""services"" variant",Commercial,custom-cabinetry.html,Secondary,Framework Rule 5,,,,"Always test: the ""services"" variant often beats the bare term on volume AND difficulty."
shopfitting,Core service,Transactional,custom-cabinetry.html,Primary,New site services,,,,
shopfitting services,"Service + ""services"" variant",Transactional,custom-cabinetry.html,Secondary,Framework Rule 5,,,,"Always test: the ""services"" variant often beats the bare term on volume AND difficulty."
office cupboards,Core service,Commercial,custom-cabinetry.html,Primary,New site services,,,,
office cupboards services,"Service + ""services"" variant",Commercial,custom-cabinetry.html,Secondary,Framework Rule 5,,,,"Always test: the ""services"" variant often beats the bare term on volume AND difficulty."
diy cupboards,Core service,Commercial,diy-units.html,Primary,New site services,,,,
diy cupboards services,"Service + ""services"" variant",Commercial,diy-units.html,Secondary,Framework Rule 5,,,,"Always test: the ""services"" variant often beats the bare term on volume AND difficulty."
flat pack cupboards,Core service,Commercial,diy-units.html,Primary,New site services,,,,
flat pack cupboards services,"Service + ""services"" variant",Commercial,diy-units.html,Secondary,Framework Rule 5,,,,"Always test: the ""services"" variant often beats the bare term on volume AND difficulty."
kitchen cupboard doors,Core service,Commercial,melamine-doors-quartz-countertops.html,Primary,New site services,,,,
kitchen cupboard doors services,"Service + ""services"" variant",Commercial,melamine-doors-quartz-countertops.html,Secondary,Framework Rule 5,,,,"Always test: the ""services"" variant often beats the bare term on volume AND difficulty."
cupboard installation Nelspruit,Service + town,Commercial,cupboard-installation.html,Secondary,Service areas,,,,
cupboard installation Mbombela,Service + town,Commercial,cupboard-installation.html,Secondary,Service areas,,,,
kitchen units Nelspruit,Service + town,Commercial,kitchen-units.html,Secondary,Service areas,,,,
kitchen units Mbombela,Service + town,Commercial,kitchen-units.html,Secondary,Service areas,,,,
kitchen cupboards Nelspruit,Service + town,Commercial,kitchen-units.html,Secondary,Service areas,,,,
kitchen cupboards Mbombela,Service + town,Commercial,kitchen-units.html,Secondary,Service areas,,,,
bedroom cupboards Nelspruit,Service + town,Commercial,bedroom-bathroom-cabinetry.html,Secondary,Service areas,,,,
bedroom cupboards Mbombela,Service + town,Commercial,bedroom-bathroom-cabinetry.html,Secondary,Service areas,,,,
built in cupboards Nelspruit,Service + town,Commercial,bedroom-bathroom-cabinetry.html,Secondary,Service areas,,,,
built in cupboards Mbombela,Service + town,Commercial,bedroom-bathroom-cabinetry.html,Secondary,Service areas,,,,
bathroom cabinets Nelspruit,Service + town,Commercial,bedroom-bathroom-cabinetry.html,Secondary,Service areas,,,,
bathroom cabinets Mbombela,Service + town,Commercial,bedroom-bathroom-cabinetry.html,Secondary,Service areas,,,,
