old_url,old_internal_links,new_file,new_url,page_role,url_changed,required_action,ranking_risk_if_not_redirected,notes
https://www.cupboardcentre.co.za/,48,index.html,https://www.cupboardcentre.co.za/,Homepage,no,NONE - URL preserved exactly,None,URL preserved exactly - the new site serves the same extensionless path.
https://www.cupboardcentre.co.za/about-us,98,about.html,https://www.cupboardcentre.co.za/about,About,yes,301 redirect (slug changed),HIGH,Slug changed; 301 carries the equity across.
https://www.cupboardcentre.co.za/bedroom-and-bathroom-cabinetry,99,bedroom-cupboards.html,https://www.cupboardcentre.co.za/bedroom-cupboards,Bedroom service (page split),yes,301 redirect (slug changed),HIGH,Slug changed; 301 carries the equity across.
https://www.cupboardcentre.co.za/bedroom-cabinetry,1,bedroom-cupboards.html,https://www.cupboardcentre.co.za/bedroom-cupboards,Bedroom service (page split),yes,301 redirect (slug changed),LOW,Slug changed; 301 carries the equity across.
https://www.cupboardcentre.co.za/blog,88,blog.html,https://www.cupboardcentre.co.za/blog,Blog index,no,NONE - URL preserved exactly,None,URL preserved exactly - the new site serves the same extensionless path.
https://www.cupboardcentre.co.za/cart,40,cart.html,https://www.cupboardcentre.co.za/cart,Cart,no,NONE - URL preserved exactly,None,URL preserved exactly - the new site serves the same extensionless path.
https://www.cupboardcentre.co.za/checkout,40,get-a-quote.html,https://www.cupboardcentre.co.za/get-a-quote,Checkout (no equivalent),yes,301 redirect (slug changed),MEDIUM,Slug changed; 301 carries the equity across.
https://www.cupboardcentre.co.za/contact-us,99,contact.html,https://www.cupboardcentre.co.za/contact,Contact,yes,301 redirect (slug changed),HIGH,Slug changed; 301 carries the equity across.
https://www.cupboardcentre.co.za/cupboard-installation,57,cupboard-installation.html,https://www.cupboardcentre.co.za/cupboard-installation,Installation service,no,NONE - URL preserved exactly,None,URL preserved exactly - the new site serves the same extensionless path.
https://www.cupboardcentre.co.za/faq,59,faq.html,https://www.cupboardcentre.co.za/faq,FAQ,no,NONE - URL preserved exactly,None,URL preserved exactly - the new site serves the same extensionless path.
https://www.cupboardcentre.co.za/gallery-bathroom-cabinetry,60,bathroom-cabinets.html,https://www.cupboardcentre.co.za/bathroom-cabinets,Bathroom service (page split),yes,301 redirect (slug changed),HIGH,Slug changed; 301 carries the equity across.
https://www.cupboardcentre.co.za/gallery-bedroom-cupboards,62,bedroom-cupboards.html,https://www.cupboardcentre.co.za/bedroom-cupboards,Bedroom service (page split),yes,301 redirect (slug changed),HIGH,Slug changed; 301 carries the equity across.
https://www.cupboardcentre.co.za/gallery-custom-cabinetry,118,custom-cabinetry.html,https://www.cupboardcentre.co.za/custom-cabinetry,Custom & shopfitting service,yes,301 redirect (slug changed),HIGH,Slug changed; 301 carries the equity across.
https://www.cupboardcentre.co.za/gallery-designs-of-kitchen-cupboard,127,gallery-designs-of-kitchen-cupboard.html,https://www.cupboardcentre.co.za/gallery-designs-of-kitchen-cupboard,Kitchen gallery (URL preserved),no,NONE - URL preserved exactly,None,URL preserved exactly - the new site serves the same extensionless path.
https://www.cupboardcentre.co.za/gallery-diy-units,60,diy-units.html,https://www.cupboardcentre.co.za/diy-units,DIY units service,yes,301 redirect (slug changed),HIGH,Slug changed; 301 carries the equity across.
https://www.cupboardcentre.co.za/get-a-quote,88,get-a-quote.html,https://www.cupboardcentre.co.za/get-a-quote,Quote,no,NONE - URL preserved exactly,None,URL preserved exactly - the new site serves the same extensionless path.
https://www.cupboardcentre.co.za/home-cc,145,index.html,https://www.cupboardcentre.co.za/,Homepage (old canonical),yes,301 redirect (slug changed),HIGH,Slug changed; 301 carries the equity across.
https://www.cupboardcentre.co.za/kitchen-units,95,kitchen-units.html,https://www.cupboardcentre.co.za/kitchen-units,Kitchen units service,no,NONE - URL preserved exactly,None,URL preserved exactly - the new site serves the same extensionless path.
https://www.cupboardcentre.co.za/melamine-doors-quartz-countertops,83,melamine-doors-quartz-countertops.html,https://www.cupboardcentre.co.za/melamine-doors-quartz-countertops,Melamine & quartz service,no,NONE - URL preserved exactly,None,URL preserved exactly - the new site serves the same extensionless path.
https://www.cupboardcentre.co.za/post/cupboard-warehouse,2,blog.html,https://www.cupboardcentre.co.za/blog,Blog index (no equivalent post),yes,301 redirect (slug changed),LOW,Slug changed; 301 carries the equity across.
https://www.cupboardcentre.co.za/post/shop-fitting,2,blog/expert-solutions-for-shop-fitting.html,https://www.cupboardcentre.co.za/blog/expert-solutions-for-shop-fitting,Blog post,yes,301 redirect (slug changed),LOW,Slug changed; 301 carries the equity across.
https://www.cupboardcentre.co.za/post/the-ultimate-guide-to-durable-quartz-countertops,6,blog/durable-quartz-countertops.html,https://www.cupboardcentre.co.za/blog/durable-quartz-countertops,Blog post,yes,301 redirect (slug changed),MEDIUM,Slug changed; 301 carries the equity across.
https://www.cupboardcentre.co.za/post/timeless-elegance-granite-countertops-for-your-home,2,blog/granite-countertops-for-your-home.html,https://www.cupboardcentre.co.za/blog/granite-countertops-for-your-home,Blog post,yes,301 redirect (slug changed),LOW,Slug changed; 301 carries the equity across.
https://www.cupboardcentre.co.za/post/top-tips-for-selecting-ideal-kitchen-countertops--ultimate-guide-to-choosing-the-perfect-kitchen-countertops---expert-tips-and-advice-to-help-you-select-the-ideal-countertops-for-your-space,2,blog/durable-quartz-countertops.html,https://www.cupboardcentre.co.za/blog/durable-quartz-countertops,Blog post (nearest match),yes,301 redirect (slug changed),LOW,Slug changed; 301 carries the equity across.
https://www.cupboardcentre.co.za/post/transform-your-space-a-complete-guide-to-choosing-the-perfect-kitchen-units,6,blog/choosing-the-perfect-kitchen-units.html,https://www.cupboardcentre.co.za/blog/choosing-the-perfect-kitchen-units,Blog post,yes,301 redirect (slug changed),MEDIUM,Slug changed; 301 carries the equity across.
https://www.cupboardcentre.co.za/product-details/product/cc1,1,product-flat-pack-wardrobe.html,https://www.cupboardcentre.co.za/product-flat-pack-wardrobe,Product detail,yes,301 redirect (slug changed),LOW,Slug changed; 301 carries the equity across.
https://www.cupboardcentre.co.za/shop,121,shop.html,https://www.cupboardcentre.co.za/shop,Shop,no,NONE - URL preserved exactly,None,URL preserved exactly - the new site serves the same extensionless path.
