,keyword,cpc,sv,is_restricted,search_intent_list,kd,ppcd,last_updated_at
0,chest of drawer,0.18,33100,False,"['transactional', 'commercial']",30,100.0,2026-09-06 15:09:25.995450+00:00
1,nelspruit,0.36,27100,False,"['informational', 'commercial']",47,2.0,2026-07-23 10:56:35.106898+00:00
2,kitchen cupboards,0.53,22200,False,"['informational', 'transactional']",6,100.0,2026-04-19 19:20:11.381694+00:00
3,quote request,2.06,12100,False,[],51,6.0,2026-08-29 06:14:21.384655+00:00
4,bathroom cabinetry,0.18,9900,False,['transactional'],48,100.0,2026-09-06 15:09:14.454105+00:00
5,bathroom cabinets,0.18,9900,False,['transactional'],8,100.0,2026-09-06 14:41:16.985832+00:00
6,kitchen units,0.32,9900,False,['informational'],5,100.0,2024-10-25 01:21:51.189292+00:00
7,office desks,0.78,8100,False,[],8,100.0,2026-09-06 14:41:39.856514+00:00
8,kitchen cabinets,0.51,6600,False,"['informational', 'navigational']",78,100.0,2026-09-06 14:41:51.133272+00:00
9,built in cupboards,0.6,4400,False,['informational'],17,100.0,2026-09-06 14:41:16.387776+00:00
10,bathroom vanities,0.28,3600,False,"['informational', 'transactional']",19,100.0,2025-12-29 11:29:39.328473+00:00
11,bathroom vanity,0.28,3600,False,"['informational', 'commercial']",16,100.0,2026-08-27 02:38:12.808719+00:00
12,designs of kitchen cupboard,0.53,3600,False,['commercial'],28,100.0,2026-09-06 14:41:15.813792+00:00
13,bedroom cupboards,0.34,2900,False,"['commercial', 'informational']",3,100.0,2026-09-06 15:09:18.060955+00:00
14,quartz countertops,0.45,2900,False,['informational'],19,100.0,2026-09-06 14:41:39.850770+00:00
15,built in wardrobes,0.48,2400,False,"['commercial', 'informational']",3,100.0,2026-09-06 15:09:23.430688+00:00
16,diy cupboard,0.15,2400,False,[],7,100.0,2026-09-06 14:41:10.758918+00:00
17,diy cupboards,0.15,2400,False,"['navigational', 'informational']",14,100.0,2026-09-06 14:41:20.606066+00:00
18,eazi quartz,0.45,2400,False,"['navigational', 'commercial']",5,14.000000000000002,2026-09-06 14:41:35.632355+00:00
19,kitchen countertops,0.46,2400,False,[],7,100.0,2026-09-01 20:51:02.179742+00:00
20,kitchen cupboard design,0.48,2400,False,[],4,100.0,2026-09-06 14:41:37.230834+00:00
21,kitchen cupboard designs,0.41,2400,False,"['commercial', 'informational']",42,100.0,2026-09-06 14:41:37.738070+00:00
22,chest drawer,0.17,1900,False,"['commercial', 'navigational']",45,100.0,2026-09-06 15:09:13.973178+00:00
23,shoe storage,0.3,1900,False,"['commercial', 'informational']",35,100.0,2026-09-06 14:42:09.662030+00:00
24,reception desk,1.48,1600,False,[],48,100.0,2026-08-28 17:16:32.103441+00:00
25,reception desks,1.48,1600,False,[],3,100.0,2026-09-02 14:12:58.961406+00:00
26,diy kitchen cabinets,0.2,1300,False,['informational'],20,100.0,2026-09-06 14:41:21.333929+00:00
27,walk in closet,0.46,1000,False,[],80,87.0,2025-09-16 11:29:06.726126+00:00
28,kitchen renovation,1.59,880,False,[],36,92.0,2026-08-13 15:31:14.946491+00:00
29,cupboard doors,0.34,720,False,"['informational', 'navigational']",7,100.0,2026-09-06 15:09:21.636642+00:00
30,cabinet handles,0.15,590,False,"['commercial', 'informational']",45,100.0,2025-04-02 01:46:37.197776+00:00
31,home renovation,1.29,590,False,[],34,28.999999999999996,2026-08-11 21:41:03.903236+00:00
32,kitchen cupboard prices,0.32,590,False,[],12,100.0,2026-09-06 15:08:59.611807+00:00
33,shopfitting,1.51,590,False,[],5,73.0,2025-01-24 00:23:23.019332+00:00
34,bedside cabinets,0.18,480,False,['informational'],28,100.0,2026-09-06 14:41:21.842408+00:00
35,kitchen cupboard doors,0.32,480,False,[],6,99.0,
36,office cupboards,0.84,480,False,[],6,100.0,2026-09-06 14:41:44.878848+00:00
37,shop fitting,1.29,480,False,['informational'],18,75.0,2026-09-06 14:41:42.020287+00:00
38,soft close hinges,0.1,480,False,[],12,100.0,2025-06-05 19:30:13.579880+00:00
39,flat pack cupboards,0.21,390,False,[],3,100.0,
40,kitchen storage,0.44,390,False,[],18,100.0,2026-09-06 14:41:55.114227+00:00
