,keyword,cpc,sv,is_restricted,search_intent_list,kd,ppcd,last_updated_at
0,chest of drawer,0.18,33100,False,"['transactional', 'commercial']",30.0,100.0,2026-09-06 14:42:12.854376+00:00
1,kitchen cupboard,0.53,22200,False,[],22.502700805664062,100.0,2025-07-08 12:28:54.754719+00:00
2,kitchen cupboards,0.53,22200,False,"['informational', 'transactional']",6.0,100.0,2026-04-19 19:20:11.381694+00:00
3,quote request,2.06,12100,False,[],6.175227642059326,6.0,2026-08-29 06:14:21.384655+00:00
4,bathroom cabinetry,0.18,9900,False,['informational'],43.0,100.0,2026-09-06 14:41:11.836802+00:00
5,bathroom cabinets,0.18,9900,False,[],61.604427337646484,100.0,2026-09-06 14:41:16.985832+00:00
6,kitchen units,0.32,9900,False,['informational'],5.0,100.0,2024-10-25 01:21:51.189292+00:00
7,office desks,0.78,8100,False,[],33.0,100.0,2026-09-06 14:41:39.856514+00:00
8,kitchen cabinets,0.51,6600,False,"['informational', 'navigational']",78.0,100.0,2026-09-06 14:41:51.133272+00:00
9,built in cupboards,0.6,4400,False,['informational'],17.0,100.0,2026-09-06 14:41:16.387776+00:00
10,bathroom vanities,0.28,3600,False,[],0.0,100.0,2025-12-29 11:29:39.328473+00:00
11,designs of kitchen cupboard,0.53,3600,False,['commercial'],29.0,100.0,2026-09-06 14:41:15.813792+00:00
12,bedroom cupboards,0.34,2900,False,[],24.86380958557129,100.0,2026-09-06 14:41:21.108745+00:00
13,quartz countertops,0.45,2900,False,['informational'],19.0,100.0,2026-09-06 14:41:39.850770+00:00
14,built in wardrobes,0.48,2400,False,[],8.154425621032715,100.0,2026-09-06 14:41:23.229242+00:00
15,diy cupboard,0.15,2400,False,[],15.051819801330566,100.0,2026-09-06 14:41:10.758918+00:00
16,diy cupboards,0.15,2400,False,"['navigational', 'informational']",16.0,100.0,2026-09-06 14:41:20.606066+00:00
17,eazi quartz,0.45,2400,False,"['navigational', 'commercial']",5.0,14.000000000000002,2026-09-06 14:41:35.632355+00:00
18,kitchen countertops,0.46,2400,False,[],0.0,100.0,2026-09-01 20:51:02.179742+00:00
19,kitchen cupboard design,0.48,2400,False,[],53.282901763916016,100.0,2026-09-06 14:41:37.230834+00:00
20,kitchen cupboard designs,0.41,2400,False,"['commercial', 'informational']",42.0,100.0,2026-09-06 14:41:37.738070+00:00
21,chest drawer,0.17,1900,False,"['transactional', 'commercial']",45.0,100.0,2026-09-06 14:41:31.617246+00:00
22,shoe storage,0.3,1900,False,"['commercial', 'informational']",35.0,100.0,2026-09-06 14:42:09.662030+00:00
23,reception desks,1.48,1600,False,[],36.45942687988281,100.0,2026-09-02 14:12:58.961406+00:00
24,bathroom cupboards,0.26,1300,False,['commercial'],46.0,100.0,2024-10-11 16:09:20.207937+00:00
25,diy kitchen cabinets,0.2,1300,False,['informational'],27.0,100.0,2026-09-06 14:41:21.333929+00:00
26,cabinet handles,0.15,590,False,"['commercial', 'informational']",45.0,100.0,2025-04-02 01:46:37.197776+00:00
27,home renovation,1.29,590,False,[],43.02439498901367,28.999999999999996,2026-08-11 21:41:03.903236+00:00
28,bedside cabinets,0.18,480,False,['informational'],28.0,100.0,2026-09-06 14:41:21.842408+00:00
29,office cupboards,0.84,480,False,[],8.23328971862793,100.0,2026-09-06 14:41:44.878848+00:00
30,shop fitting,1.29,480,False,['informational'],18.0,75.0,2026-09-06 14:41:42.020287+00:00
31,kitchen storage,0.44,390,False,[],18.0,100.0,2026-09-06 14:41:55.114227+00:00
32,one stop shop,0.0,390,False,[],21.581375122070312,3.0,2026-09-06 14:41:33.282457+00:00
33,bathroom remodeling,0.95,320,False,[],0.0,99.0,2026-08-17 21:41:23.527478+00:00
34,bedroom cabinetry,0.15,320,False,['commercial'],29.0,100.0,2026-09-06 14:41:27.373026+00:00
35,bedroom cabinets,0.15,320,False,[],0.0,100.0,2026-09-06 14:41:25.844852+00:00
36,cupboard warehouse,0.24,320,False,['transactional'],6.0,94.0,2026-09-06 14:41:14.124546+00:00
37,diy wardrobe,0.21,320,False,"['navigational', 'informational']",26.0,100.0,2026-09-06 14:41:16.992665+00:00
38,storage solutions,1.01,320,False,[],48.791259765625,100.0,2025-01-28 23:37:57.380005+00:00
39,shop counters,0.85,210,False,[],15.157437324523926,100.0,2026-09-06 14:41:38.561089+00:00
40,christmas holidays,0.34,170,False,[],0.0,14.000000000000002,2026-09-06 14:41:08.225648+00:00
